ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Greenfield Construction,PROCUREMENT,777.61,37.0,18.0,0.4865,19.0,881.56,100.0,113.37,13.37,8.82,10,10,9,0,0.9,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Tamil Nadu,South,Major Ports Authority,Corridor Modernization,NONE,1176.3,66.0,18.0,0.2727,48.0,718.73,61.95,61.1,-0.85,11.6,10,5,3,1,0.3,0.5
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,150.0,41.0,18.0,0.439,23.0,152.18,100.0,101.45,1.45,1.52,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1491.12,58.0,18.0,0.3103,40.0,1783.78,90.13,119.63,29.5,19.79,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,463.46,36.0,18.0,0.5,18.0,502.13,89.26,108.34,19.08,5.63,10,8,8,0,0.8,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Gujarat,West,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,NONE,1610.96,40.0,18.0,0.45,22.0,1706.79,89.17,105.95,16.78,19.14,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,150.0,65.0,18.0,0.2769,47.0,139.26,74.44,92.84,18.4,1.87,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,699.25,57.0,18.0,0.3158,39.0,395.93,46.66,56.62,9.96,8.49,10,4,4,0,0.4,0.4
Ministry of Railways,Railways,West Bengal,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,1256.09,41.0,18.0,0.439,23.0,1246.63,100.0,99.25,-0.75,12.47,10,10,0,0,0.0,1.0
Ministry of Civil Aviation,Civil Aviation,Maharashtra,West,Airports Authority of India (AAI),Corridor Modernization,NONE,3952.97,37.0,18.0,0.4865,19.0,4131.4,100.0,104.51,4.51,41.31,10,10,1,0,0.1,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Telangana,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,NONE,1578.17,45.0,18.0,0.4,27.0,1329.6,92.02,84.25,-7.77,14.45,10,8,8,0,0.8,0.8
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,1129.87,54.0,18.0,0.3333,36.0,1229.11,100.0,108.78,8.78,12.29,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,2747.75,40.0,18.0,0.45,22.0,2774.07,100.0,100.96,0.96,27.74,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Greenfield Construction,CONTRACTOR,3925.47,57.0,18.0,0.3158,39.0,3067.33,62.68,78.14,15.46,48.94,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Assam,Northeast,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,298.64,70.0,18.0,0.2571,52.0,220.9,80.8,73.97,-6.83,2.73,10,7,7,0,0.7,0.7
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LAND_ACQUISITION,1149.35,69.0,18.0,0.2609,51.0,1338.83,85.24,116.49,31.25,15.71,10,8,9,0,0.9,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Madhya Pradesh,Central,Metro Rail Infrastructure SPV,Capacity Augmentation / 6-Laning,INTERDEPARTMENTAL_DEPENDENCY,593.27,44.0,18.0,0.4091,26.0,696.47,95.15,117.4,22.25,7.32,10,9,10,0,1.0,0.9
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,NONE,949.49,31.0,18.0,0.5806,13.0,900.08,89.29,94.8,5.51,10.08,10,8,8,0,0.8,0.8
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,683.32,68.0,18.0,0.2647,50.0,483.31,74.54,70.73,-3.81,6.48,10,7,7,0,0.7,0.7
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,DESIGN_CHANGE,471.33,51.0,18.0,0.3529,33.0,526.55,100.0,111.72,11.72,5.27,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,1679.16,43.0,18.0,0.4186,25.0,1728.77,100.0,102.95,2.95,17.29,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,1937.66,64.0,18.0,0.2812,46.0,641.98,40.6,33.13,-7.47,15.81,10,3,2,1,0.2,0.3
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Greenfield Construction,ENVIRONMENTAL_CLEARANCE,2461.43,36.0,18.0,0.5,18.0,2937.35,89.52,119.34,29.82,32.81,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,1648.5,38.0,18.0,0.4737,20.0,1757.58,100.0,106.62,6.62,17.58,10,10,7,0,0.7,1.0
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,799.48,35.0,18.0,0.5143,17.0,1103.49,100.0,138.03,38.03,11.03,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,209.37,57.0,18.0,0.3158,39.0,115.25,40.51,55.05,14.54,2.84,10,3,4,0,0.4,0.3
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Capacity Augmentation / 6-Laning,CONTRACTOR,1257.83,69.0,18.0,0.2609,51.0,640.43,38.69,50.92,12.23,16.55,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,1083.39,44.0,18.0,0.4091,26.0,1202.39,100.0,110.98,10.98,12.02,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,FOREST_CLEARANCE,300.16,25.0,18.0,0.72,7.0,353.01,100.0,117.61,17.61,3.53,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,540.5,59.0,18.0,0.3051,41.0,662.61,100.0,122.59,22.59,6.63,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,5213.54,53.0,18.0,0.3396,35.0,5271.11,100.0,101.1,1.1,52.71,10,10,6,0,0.6,1.0
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,3784.05,49.0,18.0,0.3673,31.0,2356.29,63.64,62.27,-1.37,37.03,10,6,0,0,0.0,0.6
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LEGAL_DISPUTE,1139.18,63.0,18.0,0.2857,45.0,1389.78,100.0,122.0,22.0,13.9,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,INTERDEPARTMENTAL_DEPENDENCY,570.39,59.0,18.0,0.3051,41.0,674.43,100.0,118.24,18.24,6.74,10,10,10,0,1.0,1.0
Ministry of Power,Power,Bihar,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,PROCUREMENT,2036.35,40.0,18.0,0.45,22.0,2163.91,100.0,106.26,6.26,21.64,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,885.67,71.0,18.0,0.2535,53.0,871.56,68.85,98.41,29.56,12.66,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Corridor Modernization,CONTRACTOR,1075.79,35.0,18.0,0.5143,17.0,1291.52,100.0,120.05,20.05,12.92,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,296.85,24.0,18.0,0.75,6.0,312.02,100.0,105.11,5.11,3.12,10,10,9,0,0.9,1.0
Ministry of Jal Shakti,Water Resources,Tamil Nadu,South,National Water Development Agency,Rehabilitation & Upgradation,NONE,387.74,29.0,18.0,0.6207,11.0,342.01,84.94,88.21,3.27,4.03,10,8,9,0,0.9,0.8
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,NONE,1928.5,57.0,18.0,0.3158,39.0,1896.81,93.53,98.36,4.83,20.28,10,8,0,0,0.0,0.8
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,150.0,62.0,18.0,0.2903,44.0,181.68,100.0,121.12,21.12,1.82,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,NONE,1408.45,26.0,18.0,0.6923,8.0,1435.25,100.0,101.9,1.9,14.35,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,150.0,59.0,18.0,0.3051,41.0,110.97,72.82,73.98,1.16,1.52,10,6,0,0,0.0,0.6
Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Corridor Modernization,FOREST_CLEARANCE,258.66,60.0,18.0,0.3,42.0,327.3,86.5,126.54,40.04,3.78,10,8,9,0,0.9,0.8
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,691.73,29.0,18.0,0.6207,11.0,730.57,100.0,105.61,5.61,7.31,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Corridor Modernization,NONE,310.2,53.0,18.0,0.3396,35.0,190.75,60.17,61.49,1.32,3.17,10,5,3,1,0.3,0.5
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,DESIGN_CHANGE,1137.55,33.0,18.0,0.5455,15.0,1273.85,100.0,111.98,11.98,12.74,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,UTILITY_SHIFTING,1252.44,49.0,18.0,0.3673,31.0,1472.87,91.44,117.6,26.16,16.11,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,FOREST_CLEARANCE,2134.59,71.0,18.0,0.2535,53.0,2332.87,76.36,109.29,32.93,30.55,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LEGAL_DISPUTE,373.51,40.0,18.0,0.45,22.0,450.93,100.0,120.73,20.73,4.51,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,1569.77,29.0,18.0,0.6207,11.0,1629.3,100.0,103.79,3.79,16.29,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,3224.23,39.0,18.0,0.4615,21.0,4029.27,100.0,124.97,24.97,40.29,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1873.5,56.0,18.0,0.3214,38.0,1834.95,67.06,97.94,30.88,27.36,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,395.78,62.0,18.0,0.2903,44.0,494.57,89.6,124.96,35.36,5.52,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,1122.71,54.0,18.0,0.3333,36.0,895.88,79.92,79.8,-0.12,11.21,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,678.56,29.0,18.0,0.6207,11.0,758.43,100.0,111.77,11.77,7.58,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,1084.84,67.0,18.0,0.2687,49.0,656.2,62.24,60.49,-1.75,10.54,10,5,5,0,0.5,0.5
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1571.74,36.0,18.0,0.5,18.0,1762.92,93.11,112.16,19.05,18.93,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,NONE,471.32,34.0,18.0,0.5294,16.0,497.95,100.0,105.65,5.65,4.98,10,10,8,0,0.8,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Karnataka,South,Metro Rail Infrastructure SPV,Greenfield Construction,FOREST_CLEARANCE,599.83,40.0,18.0,0.45,22.0,717.74,100.0,119.66,19.66,7.18,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,290.22,53.0,18.0,0.3396,35.0,300.31,100.0,103.48,3.48,3.0,10,10,7,0,0.7,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Maharashtra,West,Major Ports Authority,Strategic Interconnection,NONE,1097.08,48.0,18.0,0.375,30.0,933.78,83.49,85.12,1.63,11.18,10,7,0,0,0.0,0.7
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Greenfield Construction,NONE,2139.95,63.0,18.0,0.2857,45.0,2264.3,100.0,105.81,5.81,22.64,10,10,6,0,0.6,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Bihar,East,Major Ports Authority,Corridor Modernization,NONE,3967.89,50.0,18.0,0.36,32.0,3124.46,75.06,78.74,3.68,41.63,10,7,6,1,0.6,0.7
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,1239.71,69.0,18.0,0.2609,51.0,916.7,62.26,73.94,11.68,14.72,10,5,4,1,0.4,0.5
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,UTILITY_SHIFTING,2193.07,34.0,18.0,0.5294,16.0,2270.57,100.0,103.53,3.53,22.71,10,10,5,0,0.5,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,CONTRACTOR,496.19,30.0,18.0,0.6,12.0,625.64,100.0,126.09,26.09,6.26,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,937.91,67.0,18.0,0.2687,49.0,1066.41,100.0,113.7,13.7,10.66,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,1738.73,28.0,18.0,0.6429,10.0,1985.75,100.0,114.21,14.21,19.86,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,DESIGN_CHANGE,1346.45,59.0,18.0,0.3051,41.0,1472.83,87.9,109.39,21.49,16.76,10,8,8,0,0.8,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Corridor Modernization,LAND_ACQUISITION,619.0,57.0,18.0,0.3158,39.0,798.61,100.0,129.02,29.02,7.99,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,848.54,50.0,18.0,0.36,32.0,638.76,50.43,75.28,24.85,12.67,10,4,5,0,0.5,0.4
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Karnataka,South,Major Ports Authority,Greenfield Construction,NONE,1284.9,56.0,18.0,0.3214,38.0,1345.54,100.0,104.72,4.72,13.46,10,10,8,0,0.8,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Rajasthan,North,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,150.0,70.0,18.0,0.2571,52.0,134.27,82.13,89.51,7.38,1.63,10,7,5,1,0.5,0.7
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,633.51,62.0,18.0,0.2903,44.0,690.16,77.63,108.94,31.31,8.89,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,827.82,67.0,18.0,0.2687,49.0,864.92,96.36,104.48,8.12,8.98,10,9,10,0,1.0,0.9
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,611.62,34.0,18.0,0.5294,16.0,653.2,100.0,106.8,6.8,6.53,10,10,9,0,0.9,1.0
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,2252.45,52.0,18.0,0.3462,34.0,2449.41,100.0,108.74,8.74,24.49,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,NONE,995.08,68.0,18.0,0.2647,50.0,983.45,100.0,98.83,-1.17,9.83,10,10,8,0,0.8,1.0
Ministry of Coal,Coal Infrastructure,Andhra Pradesh,South,Coal Infrastructure PSU,Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,235.79,45.0,18.0,0.4,27.0,283.81,97.14,120.37,23.23,2.92,10,9,10,0,1.0,0.9
Ministry of Power,Power,Telangana,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,675.56,70.0,18.0,0.2571,52.0,627.42,78.22,92.87,14.65,8.02,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,935.02,37.0,18.0,0.4865,19.0,783.23,65.19,83.77,18.58,12.01,10,6,7,0,0.7,0.6
Ministry of Civil Aviation,Civil Aviation,Andhra Pradesh,South,Airports Authority of India (AAI),Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,1070.95,70.0,18.0,0.2571,52.0,464.58,33.1,43.38,10.28,14.04,10,3,4,0,0.4,0.3
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Madhya Pradesh,Central,Major Ports Authority,Corridor Modernization,PROCUREMENT,502.08,59.0,18.0,0.3051,41.0,544.73,98.76,108.49,9.73,5.52,10,9,7,1,0.7,0.9
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Greenfield Construction,INTERDEPARTMENTAL_DEPENDENCY,428.73,71.0,18.0,0.2535,53.0,299.08,62.58,69.76,7.18,4.78,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,3062.61,42.0,18.0,0.4286,24.0,3131.38,100.0,102.25,2.25,31.31,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,183.83,65.0,18.0,0.2769,47.0,145.89,50.26,79.36,29.1,2.9,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Strategic Interconnection,UTILITY_SHIFTING,322.22,70.0,18.0,0.2571,52.0,232.28,55.68,72.09,16.41,4.17,10,5,5,0,0.5,0.5
Ministry of Railways,Railways,Assam,Northeast,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,192.83,39.0,18.0,0.4615,21.0,192.44,100.0,99.8,-0.2,1.92,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,1777.01,38.0,18.0,0.4737,20.0,1936.9,96.82,109.0,12.18,20.01,10,9,9,0,0.9,0.9
Ministry of Road Transport & Highways,Roads & Highways,Chhattisgarh,Central,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,284.65,51.0,18.0,0.3529,33.0,293.45,66.61,103.09,36.48,4.41,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,1049.16,55.0,18.0,0.3273,37.0,1151.43,100.0,109.75,9.75,11.51,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,289.12,68.0,18.0,0.2647,50.0,335.6,89.29,116.08,26.79,3.76,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,3859.75,30.0,18.0,0.6,12.0,4218.18,100.0,109.29,9.29,42.18,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,363.0,40.0,18.0,0.45,22.0,421.21,100.0,116.04,16.04,4.21,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,326.84,69.0,18.0,0.2609,51.0,174.14,37.3,53.28,15.98,4.67,10,3,4,0,0.4,0.3
Ministry of Power,Power,Odisha,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,INTERDEPARTMENTAL_DEPENDENCY,389.35,70.0,18.0,0.2571,52.0,398.92,86.86,102.46,15.6,4.59,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,CONTRACTOR,921.52,35.0,18.0,0.5143,17.0,1009.52,92.86,109.55,16.69,10.87,10,8,7,1,0.7,0.8
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,2357.3,68.0,18.0,0.2647,50.0,2208.04,56.94,93.67,36.73,38.78,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,PROCUREMENT,458.45,29.0,18.0,0.6207,11.0,519.03,100.0,113.21,13.21,5.19,10,10,9,0,0.9,1.0
Ministry of Jal Shakti,Water Resources,Bihar,East,National Water Development Agency,Corridor Modernization,NONE,457.85,71.0,18.0,0.2535,53.0,466.42,100.0,101.87,1.87,4.66,10,10,9,0,0.9,1.0
Ministry of Jal Shakti,Water Resources,Madhya Pradesh,Central,National Water Development Agency,Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,431.83,57.0,18.0,0.3158,39.0,511.44,100.0,118.44,18.44,5.11,10,10,10,0,1.0,1.0
Ministry of Jal Shakti,Water Resources,Madhya Pradesh,Central,National Water Development Agency,Strategic Interconnection,CONTRACTOR,2662.66,71.0,18.0,0.2535,53.0,2612.78,70.36,98.13,27.77,37.13,10,6,7,0,0.7,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,LAND_ACQUISITION,150.0,52.0,18.0,0.3462,34.0,113.06,55.25,75.37,20.12,2.05,10,5,6,0,0.6,0.5
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,946.99,72.0,18.0,0.25,54.0,910.13,71.54,96.11,24.57,12.72,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Greenfield Construction,DESIGN_CHANGE,913.6,59.0,18.0,0.3051,41.0,1001.84,100.0,109.66,9.66,10.02,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,859.73,58.0,18.0,0.3103,40.0,966.36,79.82,112.4,32.58,12.11,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,1152.8,25.0,18.0,0.72,7.0,1271.71,100.0,110.31,10.31,12.72,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,832.27,41.0,18.0,0.439,23.0,1038.36,100.0,124.76,24.76,10.38,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Maharashtra,West,Metro Rail Infrastructure SPV,Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,1026.31,55.0,18.0,0.3273,37.0,930.12,73.2,90.63,17.43,12.71,10,6,7,0,0.7,0.6
